ID	Grp
4J105.3.4	mcult
5M20	mcult
AB.01	lr
AB.02	lr
BR.01	mcult
BR.02	mcult
BR.03	mcult
BR.04	mcult
BR.05	mcult
BR.06	mcult
BR.07	mcult
BR.08	mcult
BR.09	mcult
BR.10	mcult
BR.11	mcult
BR.12	mcult
BR.13	mcult
BR.14	mcult
BR.15	mcult
BR.16	mcult
BR.17	mcult
BR.18	mcult
BR.20	mcult
BR.22	NA
BR.23	mcult
BR.24	mcult
BR.29	mcult
BR.30	mcult
BR.32	mcult
CL0J095	NA
CL0J173	NA
DT2000	mcult
ESS	mcult
For	mcult
HN001	mcult
HN002	ocult
HN003	lr
HN004	lr
HN005	lr
HN006	lr
HN007	lr
HN008	lr
HN009	lr
HN010	lr
HN011	lr
HN012	lr
HN013	mcult
HN015	lr
HN016B	lr
HN017B	lr
HN018	lr
HN019	ocult
HN020	NA
HN021	lr
HN022	lr
HN023	lr
HN024	ocult
HN025	lr
HN026	lr
HN027	mcult
HN028	mcult
HN029	mcult
HN030	mcult
HN031	lr
HN032	lr
HN033	lr
HN034	lr
HN035	lr
HN036	lr
HN037	lr
HN038	lr
HN039	wt
HN040	wt
HN041	lr
HN042	lr
HN043	lr
HN044	lr
HN045	wt
HN046	wt
HN047	lr
HN048	lr
HN049	lr
HN050	lr
HN051	lr
HN052	wt
HN053	wt
HN054	lr
HN055	lr
HN056	lr
HN057	lr
HN058	lr
HN059	lr
HN060	lr
HN061	lr
HN062	lr
HN063	wt
HN064	mcult
HN065	mcult
HN066	mcult
HN067	ocult
HN068	ocult
HN069	ocult
HN070	mcult
HN071	mcult
HN072	lr
HN073	mcult
HN074	lr
HN075	lr
HN076	lr
HN077	lr
HN078	lr
HN079	lr
HN080	lr
HN081	lr
HN082	lr
HN083	lr
HN084	lr
HN085	lr
HN086	lr
HN087	mcult
HN088	mcult
HN089	lr
HN090	lr
HN091	lr
HN092	mcult
HN093	lr
HN094	lr
HN095	lr
HN096	lr
HN097	lr
HN098	lr
HN099	mcult
HN100	mcult
HN101	mcult
HN104	lr
HN105	lr
HN106	lr
HN107	lr
HN108	lr
HNEX.01	lr
HNEX.02	lr
HNEX.04	lr
HNEX.06	lr
HNEX.07	lr
HNEX.08	lr
HNEX.09	lr
HNEX.10	lr
HNEX.11	lr
HNEX.13	lr
HNEX.14	lr
HNEX.16	lr
HNEX.17	lr
HNEX.18	lr
HNEX.19	lr
HNEX.20	lr
HNEX.21	lr
HNEX.23	lr
HNEX.24	lr
HNEX.25	lr
HNEX.26	lr
HNEX.27	lr
HNEX.28	lr
HNEX.29	lr
HNEX.30	lr
HNEX.32	lr
HNEX.33	lr
HNEX.34	lr
HNEX.35	lr
HNEX.36	lr
HNEX.37	lr
HNEX.38	lr
HNEX.39	lr
HNEX.40	lr
HNSM.01	lr
HNSM.02	lr
HNSM.03	lr
HNSM.04	lr
HNSM.05	lr
HNSM.06	lr
HNSM.07	lr
HNSM.08	lr
HNSM.09	lr
HNSM.10	lr
HNSM.11	lr
HNSM.12	lr
HNSM.13	lr
HNSM.14	lr
HNSM.15	lr
HNSM.16	lr
HNSM.17	lr
HNSM.18	lr
HNSM.19	lr
HNSM.20	lr
HNSM.21	lr
HNSM.22	lr
HNSM.23	lr
HNSM.24	lr
HNSM.25	mcult
HNSM.26	mcult
HNSM.27	wt
HNSM.28	wt
HNSM.29	wt
HNSM.30	wt
HNSM.31	wt
HNSM.32	wt
HNSM.33	wt
HNY.01	mcult
HNY.02	mcult
HNY.03	mcult
HNY.04	mcult
HNY.05	mcult
HNY.06	mcult
HNY.07	lr
HNY.08	lr
HNY.09	lr
HNY.10	lr
HNY.11	mcult
HNY.12	mcult
HNY.13	mcult
HNY.14	wt
HNY.15	mcult
HNY.16	mcult
HNY.17	mcult
HNY.18	mcult
HNY.19	mcult
HNY.20	mcult
HNY.21	mcult
HNY.22	mcult
HNY.23	mcult
HNY.24	mcult
HNY.25	mcult
HNY.26	mcult
HNY.27	mcult
HNY.28	mcult
HNY.29	mcult
HNY.30	mcult
HNY.31	mcult
HNY.32	mcult
HNY.33	mcult
HNY.38	mcult
HNY.39	mcult
HNY.40	mcult
HNY.41	mcult
HNY.42	lr
HNY.43	mcult
HNY.44	mcult
HNY.45	mcult
HNY.46	mcult
HNY.47	mcult
HNY.48	wt
HNY.49	mcult
HNY.50	wt
HNY.51	ocult
HNY.52	ocult
HNY.53	lr
HNY.54	lr
HNY.55	lr
HNY.56	mcult
HNY.57	mcult
HNY.58	mcult
HNY.59	mcult
HS6.3976	NA
LD00.3309	NA
LD01.5907	NA
LD02.4485	NA
LD02.9050	NA
LG00.3372	NA
LG03.2979	NA
LG03.3191	NA
LG04.4717	NA
LG05.4292	NA
LG05.4317	NA
LG05.4464	NA
LG05.4832	NA
LG90.2550	NA
LG94.1128	NA
LG94.1906	NA
LG97.7012	NA
LG98.1605	NA
NE3001	NA
PI101404A	NA
PI342622A	wt
PI366124	NA
PI378683	wt
PI378684A	wt
PI378684B	wt
PI378690	wt
PI378696A	wt
PI378696B	wt
PI378698	wt
PI378699A	wt
PI398881	NA
PI404188A	NA
PI407020	wt
PI407038	wt
PI407042	wt
PI407052	wt
PI407077	wt
PI407083	wt
PI407085	wt
PI407096	wt
PI407156	wt
PI407157	NA
PI407171	wt
PI407175	wt
PI407179	wt
PI407183	wt
PI407190	NA
PI407191	wt
PI407202	wt
PI407214	wt
PI407220	wt
PI407228	wt
PI407229	wt
PI407231	wt
PI407239	wt
PI407240	wt
PI407241	wt
PI407243	wt
PI407248	NA
PI407262	wt
PI407270	wt
PI407281	wt
PI407286	wt
PI407287	wt
PI407288	NA
PI407300	wt
PI407303	wt
PI407307	wt
PI407308	wt
PI407315	wt
PI407318A	wt
PI424004B	wt
PI424007	wt
PI424008A	wt
PI424014	wt
PI424025B	wt
PI424035	NA
PI424045	wt
PI424070B	wt
PI424082	NA
PI424083A	wt
PI424102A	wt
PI424107A	wt
PI424116	NA
PI424121	NA
PI424123	NA
PI427136	NA
PI447003A	wt
PI464890B	wt
PI464925B	wt
PI468918	wt
PI479746B	wt
PI479751	NA
PI479752	NA
PI479768	wt
PI483466	wt
PI507595	NA
PI507609	wt
PI507615	wt
PI507618	wt
PI507619B	wt
PI507624	wt
PI507630	NA
PI507638	wt
PI507641	wt
PI507667	wt
PI507681B	NA
PI507752	wt
PI507757	wt
PI507761	wt
PI507830B	wt
PI507847	wt
PI522226	NA
PI532450	wt
PI549046	NA
PI549047	wt
PI549048	wt
PI561370	NA
PI562534	wt
PI562557	wt
PI562565	NA
PI562568	wt
PI574486	NA
PI593983	NA
PI597459C	NA
PI602450	mcult
PI639586	wt
PI639590B	wt
Prohio	NA
S06.13640	NA
SC.04	mcult
SRR1533157	wt
SRR1533162	wt
SRR1533163	wt
SRR1533168	wt
SRR1533169	wt
SRR1533174	wt
SRR1533175	wt
SRR1533176	wt
SRR1533178	wt
SRR1533180	wt
SRR1533181	wt
SRR1533182	wt
SRR1533183	wt
SRR1533185	wt
SRR1533186	NA
SRR1533187	wt
SRR1533188	wt
SRR1533190	wt
SRR1533191	wt
SRR1533192	wt
SRR1533193	wt
SRR1533194	wt
SRR1533196	wt
SRR1533197	wt
SRR1533198	wt
SRR1533199	wt
SRR1533203	wt
SRR1533205	wt
SRR1533206	wt
SRR1533207	NA
SRR1533210	wt
SRR1533211	wt
SRR1533216	lr
SRR1533220	lr
SRR1533221	lr
SRR1533229	lr
SRR1533230	lr
SRR1533231	ocult
SRR1533235	lr
SRR1533236	lr
SRR1533239	lr
SRR1533243	lr
SRR1533245	lr
SRR1533248	lr
SRR1533257	ocult
SRR1533259	lr
SRR1533261	NA
SRR1533266	lr
SRR1533267	NA
SRR1533269	lr
SRR1533270	NA
SRR1533271	lr
SRR1533272	lr
SRR1533278	lr
SRR1533279	ocult
SRR1533282	lr
SRR1533283	ocult
SRR1533284	lr
SRR1533285	lr
SRR1533286	lr
SRR1533288	lr
SRR1533290	lr
SRR1533292	lr
SRR1533295	lr
SRR1533297	ocult
SRR1533299	ocult
SRR1533301	lr
SRR1533302	lr
SRR1533303	lr
SRR1533310	lr
SRR1533312	ocult
SRR1533314	lr
SRR1533315	lr
SRR1533319	lr
SRR1533324	lr
SRR1533326	lr
SRR1533328	lr
SRR1533332	lr
SRR1533333	lr
SRR1533335	NA
SRR1533336	lr
SRR1533338	lr
SRR1533341	lr
SRR1533345	ocult
SRR1533348	mcult
SRR1533351	mcult
SRR1533353	mcult
SRR1533355	NA
SRR1533356	mcult
SRR1533357	mcult
SRR1533360	NA
SRR1533362	mcult
SRR1533365	mcult
SRR1533366	mcult
SRR1533369	mcult
SRR1533371	mcult
SRR1533374	mcult
SRR1533378	ocult
SRR1533381	mcult
SRR1533384	mcult
SRR1533385	mcult
SRR1533386	mcult
SRR1533387	mcult
SRR1533389	ocult
SRR1533395	mcult
SRR1533396	mcult
SRR1533402	NA
SRR1533405	NA
SRR1533408	NA
SRR1533409	mcult
SRR1533415	mcult
SRR1533417	NA
SRR1533419	mcult
SRR1533423	mcult
SRR1533427	mcult
SRR1533429	mcult
SRR1533436	mcult
SRR1533438	mcult
SRR1533441	mcult
SRR1533442	ocult
SRR1533444	mcult
SRR1533446	mcult
SRR1533451	mcult
TC21	mcult
TC22	wt
TN05.3027	NA
U03.100612	NA
US.18	mcult
US.19	lr
USB.001	mcult
USB.002	lr
USB003	lr
USB004	lr
USB005	lr
USB006	lr
USB.007	lr
USB009	lr
USB010	lr
USB011	lr
USB.012	lr
USB013	lr
USB.014	lr
USB.015	lr
USB.016	lr
USB017	lr
USB018	mcult
USB020	lr
USB.021	mcult
USB022	mcult
USB.023	ocult
USB.024	ocult
USB025	ocult
USB026	ocult
USB028	ocult
USB.029	ocult
USB031	ocult
USB032	mcult
USB033	mcult
USB.035	lr
USB.036	lr
USB.037	lr
USB.038	mcult
USB.039	lr
USB.040	lr
USB.041	lr
USB042	lr
USB043	lr
USB.044	lr
USB045	mcult
USB046	lr
USB.047	lr
USB.048	mcult
USB.049	lr
USB.050	lr
USB.058	mcult
USB.059	lr
USB.060	lr
USB.061	lr
USB.062	lr
USB.063	lr
USB.064	lr
USB.065	lr
USB.066	lr
USB.067	lr
USB.068	lr
USB.069	lr
USB.070	lr
USB.071	lr
USB.072	lr
USB.073	lr
USB.074	lr
USB.075	lr
USB.076	lr
USB.077	lr
USB.078	lr
USB.079	lr
USB.080	lr
USB.081	lr
USB.084	lr
USB.085	lr
USB.086	lr
USB.087	lr
USB.088	lr
USB.089	lr
USB.090	lr
USB.091	lr
USB.092	lr
USB.093	lr
USB.094	lr
USB.095	lr
USB.096	lr
USB.097	lr
USB.098	lr
USB.100	lr
USB.101	lr
USB.102	lr
USB.103	lr
USB.104	lr
USB.106	lr
USB.107	lr
USB.108	lr
USB.109	lr
USB.110	lr
USB.112	lr
USB.113	lr
USB.115	lr
USB.116	lr
USB.117	lr
USB.119	lr
USB.120	lr
USB.121	lr
USB.122	lr
USB.123	lr
USB.124	lr
USB.125	lr
USB.126	lr
USB.127	mcult
USB.128	lr
USB.129	lr
USB.131	lr
USB.132	lr
USB.133	lr
USB.134	lr
USB.135	lr
USB.136	lr
USB.139	lr
USB.140	lr
USB.141	lr
USB.143	lr
USB.144	lr
USB.145	lr
USB.146	lr
USB.147	lr
USB.148	lr
USB.149	lr
USB.150	lr
USB.151	lr
USB.152	lr
USB.153	lr
USB.154	lr
USB.155	lr
USB.156	lr
USB.157	lr
USB.158	lr
USB.159	lr
USB.160	lr
USB.161	lr
USB.162	lr
USB.163	lr
USB.166	lr
USB.167	lr
USB.168	lr
USB.169	lr
USB.170	lr
USB.171	lr
USB.173	lr
USB.174	lr
USB.175	lr
USB.177	lr
USB.178	lr
USB.179	lr
USB.180	lr
USB.182	lr
USB.183	lr
USB.184	lr
USB.185	lr
USB.186	lr
USB.187	lr
USB.188	lr
USB.189	lr
USB.191	lr
USB.192	lr
USB.193	lr
USB.195	lr
USB.196	lr
USB.198	lr
USB.199	lr
USB.201	lr
USB.202	lr
USB.203	lr
USB.204	lr
USB.206	lr
USB.207	lr
USB.208	lr
USB.209	lr
USB.210	lr
USB.212	lr
USB.213	lr
USB.214	lr
USB.215	lr
USB.216	lr
USB.217	lr
USB.218	lr
USB.220	lr
USB.221	lr
USB.222	lr
USB.223	lr
USB.224	lr
USB.226	lr
USB.227	lr
USB.228	lr
USB.229	lr
USB.230	lr
USB.232	lr
USB.233	lr
USB.234	lr
USB.235	lr
USB.236	lr
USB.238	lr
USB.240	lr
